date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:17	19039/19039	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:31%20GMT	http://demo.themesurf.com/plumbing/news.html	E:/madhu/repair/demo.themesurf.com/plumbing/news.html	(from )
20:39:17	4422/4422	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Oct%202013%2018:26:50%20GMT	http://demo.themesurf.com/robots.txt		(from )
20:39:18	6008/6008	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Nov%202017%2018:52:27%20GMT	http://demo.themesurf.com/plumbing/image/favicon.png	E:/madhu/repair/demo.themesurf.com/plumbing/image/favicon.png	(from http://demo.themesurf.com/plumbing/news.html)
20:39:20	214777/214777	---MCZ	200	added ('OK')	text/css	date:Thu,%2030%20Nov%202017%2018:43:02%20GMT	http://demo.themesurf.com/plumbing/css/vendor.bundle.css	E:/madhu/repair/demo.themesurf.com/plumbing/css/vendor.bundle.css	(from http://demo.themesurf.com/plumbing/news.html)
20:39:21	138348/138348	---MCZ	200	added ('OK')	text/css	date:Thu,%2005%20Apr%202018%2011:30:43%20GMT	http://demo.themesurf.com/plumbing/css/style.css	E:/madhu/repair/demo.themesurf.com/plumbing/css/style.css	(from http://demo.themesurf.com/plumbing/news.html)
20:39:22	22515/22515	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:29%20GMT	http://demo.themesurf.com/plumbing/	E:/madhu/repair/demo.themesurf.com/plumbing/index.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:24	27684/27684	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Nov%202017%2018:52:30%20GMT	http://demo.themesurf.com/plumbing/image/logo.png	E:/madhu/repair/demo.themesurf.com/plumbing/image/logo.png	(from http://demo.themesurf.com/plumbing/news.html)
20:39:24	15566/15566	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Dec%202017%2010:24:46%20GMT	http://demo.themesurf.com/plumbing/request-service.html	E:/madhu/repair/demo.themesurf.com/plumbing/request-service.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:25	22515/22515	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:29%20GMT	http://demo.themesurf.com/plumbing/index.html	E:/madhu/repair/demo.themesurf.com/plumbing/index-2.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:25	25884/25884	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Nov%202017%2018:52:28%20GMT	http://demo.themesurf.com/plumbing/image/logo-white.png	E:/madhu/repair/demo.themesurf.com/plumbing/image/logo-white.png	(from http://demo.themesurf.com/plumbing/news.html)
20:39:25	20485/20485	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:26%20GMT	http://demo.themesurf.com/plumbing/index-v2.html	E:/madhu/repair/demo.themesurf.com/plumbing/index-v2.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:27	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	https://www.google-analytics.com/analytics.js	E:/madhu/repair/www.google-analytics.com/analytics.js	(from http://demo.themesurf.com/plumbing/news.html)
20:39:27	19384/19384	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:28%20GMT	http://demo.themesurf.com/plumbing/index-v3.html	E:/madhu/repair/demo.themesurf.com/plumbing/index-v3.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:27	18877/18877	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:28%20GMT	http://demo.themesurf.com/plumbing/index-v4.html	E:/madhu/repair/demo.themesurf.com/plumbing/index-v4.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:27	20959/20959	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:25%20GMT	http://demo.themesurf.com/plumbing/index-static.html	E:/madhu/repair/demo.themesurf.com/plumbing/index-static.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:28	27035/27035	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:24%20GMT	http://demo.themesurf.com/plumbing/index-block.html	E:/madhu/repair/demo.themesurf.com/plumbing/index-block.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:28	14285/14285	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:19%20GMT	http://demo.themesurf.com/plumbing/about.html	E:/madhu/repair/demo.themesurf.com/plumbing/about.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:28	17360/17360	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:19%20GMT	http://demo.themesurf.com/plumbing/about-modern.html	E:/madhu/repair/demo.themesurf.com/plumbing/about-modern.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:29	14779/14779	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:44%20GMT	http://demo.themesurf.com/plumbing/teams.html	E:/madhu/repair/demo.themesurf.com/plumbing/teams.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:29	16958/16958	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:22%20GMT	http://demo.themesurf.com/plumbing/faqs.html	E:/madhu/repair/demo.themesurf.com/plumbing/faqs.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:29	13711/13711	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:46%20GMT	http://demo.themesurf.com/plumbing/testimonial.html	E:/madhu/repair/demo.themesurf.com/plumbing/testimonial.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:30	15347/15347	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:42%20GMT	http://demo.themesurf.com/plumbing/services.html	E:/madhu/repair/demo.themesurf.com/plumbing/services.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:30	15328/15328	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:41%20GMT	http://demo.themesurf.com/plumbing/services-alter.html	E:/madhu/repair/demo.themesurf.com/plumbing/services-alter.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:30	15089/15089	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:41%20GMT	http://demo.themesurf.com/plumbing/services-modern.html	E:/madhu/repair/demo.themesurf.com/plumbing/services-modern.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:31	15934/15934	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:35%20GMT	http://demo.themesurf.com/plumbing/service.html	E:/madhu/repair/demo.themesurf.com/plumbing/service.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:31	17718/17718	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:33%20GMT	http://demo.themesurf.com/plumbing/service-alter.html	E:/madhu/repair/demo.themesurf.com/plumbing/service-alter.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:32	15350/15350	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:34%20GMT	http://demo.themesurf.com/plumbing/service-simple.html	E:/madhu/repair/demo.themesurf.com/plumbing/service-simple.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:32	16826/16826	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:30%20GMT	http://demo.themesurf.com/plumbing/news-details.html	E:/madhu/repair/demo.themesurf.com/plumbing/news-details.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:32	19691/19691	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:22%20GMT	http://demo.themesurf.com/plumbing/gallery.html	E:/madhu/repair/demo.themesurf.com/plumbing/gallery.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:33	14624/14624	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:21%20GMT	http://demo.themesurf.com/plumbing/contact.html	E:/madhu/repair/demo.themesurf.com/plumbing/contact.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:34	65180/65180	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:44%20GMT	http://demo.themesurf.com/plumbing/shortcode-element.html	E:/madhu/repair/demo.themesurf.com/plumbing/shortcode-element.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:34	20932/20932	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2012:35:46%20GMT	http://demo.themesurf.com/plumbing/typography.html	E:/madhu/repair/demo.themesurf.com/plumbing/typography.html	(from http://demo.themesurf.com/plumbing/news.html)
20:39:40	32934/32934	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2018:51:44%20GMT	http://demo.themesurf.com/plumbing/image/news-a.jpg	E:/madhu/repair/demo.themesurf.com/plumbing/image/news-a.jpg	(from http://demo.themesurf.com/plumbing/news.html)
20:39:42	39432/39432	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2018:51:46%20GMT	http://demo.themesurf.com/plumbing/image/news-c.jpg	E:/madhu/repair/demo.themesurf.com/plumbing/image/news-c.jpg	(from http://demo.themesurf.com/plumbing/news.html)
20:39:43	51181/51181	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2018:51:46%20GMT	http://demo.themesurf.com/plumbing/image/news-b.jpg	E:/madhu/repair/demo.themesurf.com/plumbing/image/news-b.jpg	(from http://demo.themesurf.com/plumbing/news.html)
20:39:43	6281/6281	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2018:51:51%20GMT	http://demo.themesurf.com/plumbing/image/news-thumb-d.jpg	E:/madhu/repair/demo.themesurf.com/plumbing/image/news-thumb-d.jpg	(from http://demo.themesurf.com/plumbing/news.html)
20:39:44	76102/76102	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2018:51:42%20GMT	http://demo.themesurf.com/plumbing/image/banner-inner.jpg	E:/madhu/repair/demo.themesurf.com/plumbing/image/banner-inner.jpg	(from http://demo.themesurf.com/plumbing/news.html)
